model,lookback,hidden_size,num_layers,rmse_target1,mae_target1,rmse_target2,mae_target2,lr,rmse1,mae1,rmse2,mae2
Naive,,,,0.03174686573842088,0.01978577738880769,0.037549360497108074,0.023351861257977405,,,,,
MovingAverage_window_5,,,,0.019074724030239982,0.019074724030239982,0.023299160212764052,0.023299160212764052,,,,,
LSTM,50.0,64.0,1.0,0.038199426308676,0.03246677829731968,0.057504877171306125,0.046204877267257916,0.001,,,,
Tuned_LSTM,30.0,32.0,1.0,,,,,0.001,0.03890333674670081,0.0330454076220449,0.0591558813823345,0.04775939459252477
Tuned_LSTM,30.0,32.0,1.0,,,,,0.0005,0.03810103879713395,0.03241173001350004,0.05798151396985781,0.04678354753379562
Tuned_LSTM,30.0,32.0,2.0,,,,,0.001,0.03877081425526651,0.03291276519176567,0.05757954227970954,0.04636224848371352
Tuned_LSTM,30.0,32.0,2.0,,,,,0.0005,0.03870927138462437,0.032874023945378784,0.055717105654467504,0.044542748297107915
Tuned_LSTM,30.0,64.0,1.0,,,,,0.001,0.038130884584729983,0.03236857610703819,0.058317350308438966,0.04683811323152981
Tuned_LSTM,30.0,64.0,1.0,,,,,0.0005,0.038431269876457855,0.03267625491703425,0.058852587424971056,0.04758998110551923
Tuned_LSTM,30.0,64.0,2.0,,,,,0.001,0.03996902809776491,0.03386501679883967,0.057242164102454515,0.04600273528801305
Tuned_LSTM,30.0,64.0,2.0,,,,,0.0005,0.03945733115324409,0.03345946094438823,0.05684775094665788,0.04564740313013552
Tuned_LSTM,50.0,32.0,1.0,,,,,0.001,0.0386646501294396,0.0328677847897586,0.058320144314955254,0.047117604578987796
Tuned_LSTM,50.0,32.0,1.0,,,,,0.0005,0.038327116023459284,0.03260165963284217,0.05793143632923145,0.04668279478509126
Tuned_LSTM,50.0,32.0,2.0,,,,,0.001,0.04025462118002991,0.034106672689322284,0.05484482357462623,0.04374133012985156
Tuned_LSTM,50.0,32.0,2.0,,,,,0.0005,0.0389101519724733,0.0330254854470818,0.056722578099382776,0.04551959415321233
Tuned_LSTM,50.0,64.0,1.0,,,,,0.001,0.03850063074822999,0.032705544494287996,0.05759418349113009,0.0462688373546453
Tuned_LSTM,50.0,64.0,1.0,,,,,0.0005,0.0378609972133601,0.03217947132333073,0.058747717981676224,0.04747006060030208
Tuned_LSTM,50.0,64.0,2.0,,,,,0.001,0.03905555511981054,0.03310584223053187,0.057671763447184984,0.046388890990133554
Tuned_LSTM,50.0,64.0,2.0,,,,,0.0005,0.03890487553436645,0.0330232328416692,0.055778198867048996,0.044603713618026064
Best_LSTM1,50.0,64.0,1.0,0.03744599853216025,0.03176920414409429,,,0.0005,,,,
Best_LSTM2,50.0,32.0,2.0,,,0.057504877171306125,0.046204877267257916,0.001,,,,
